dt,count
2022-12-14 12:01:04.583492,1408
2022-12-15 12:00:52.948692,1406
2022-12-16 12:00:52.793508,1404
2022-12-17 12:00:51.173604,1392
2022-12-18 12:00:52.659176,1371
2022-12-19 12:00:52.629918,1359
2022-12-20 12:00:51.585926,1371
2022-12-21 12:00:52.387150,1364
2022-12-22 12:00:51.533992,1351
2022-12-23 12:00:51.600605,1322
2022-12-24 12:00:52.484009,1294
2022-12-25 12:00:51.196890,1259
2022-12-26 12:00:51.293719,1245
2022-12-27 12:00:52.133476,1255
2022-12-28 12:00:52.491334,1231
2022-12-29 12:00:50.954883,1219
2022-12-30 12:00:52.412134,1216
2022-12-31 12:00:51.968784,1190
2023-01-01 12:00:50.863945,1158
2023-01-02 12:00:50.833575,1142
2023-01-03 12:00:52.596308,1174
2023-01-04 12:00:53.018612,1172
2023-01-05 12:00:50.887257,1170
2023-01-06 12:00:51.196957,1180
2023-01-07 12:00:52.123105,1181
2023-01-07 13:49:23.199052,1181
