dt,name,value
2023-01-31 08:35:20.265496,linkedin_python(engineer developer)_worldwide,231468
2023-01-31 09:46:01.628614,linkedin_python(engineer developer)_worldwide,231850
2023-01-31 09:46:03.145737,linkedin_python(engineer developer)_usa,132000
2023-01-31 09:46:46.162148,linkedin_python(engineer developer)_worldwide,231850
2023-01-31 09:53:25.813213,linkedin_python(engineer developer)_worldwide,231850
2023-01-31 09:53:26.913179,linkedin_python(engineer developer)_usa,132009
2023-01-31 09:53:27.563549,linkedin_python(engineer developer)_europe,27114
2023-01-31 09:54:29.222736,linkedin_python(engineer developer)_worldwide,231850
2023-01-31 09:58:43.830938,linkedin_python(engineer developer)_worldwide,231913
2023-01-31 09:58:44.683607,linkedin_python(engineer developer)_usa,132026
2023-01-31 09:58:45.548209,linkedin_python(engineer developer)_europe,48017
2023-01-31 12:00:42.726084,linkedin_python(engineer developer)_worldwide,231843
2023-01-31 12:00:43.728242,linkedin_python(engineer developer)_usa,131080
2023-01-31 12:00:44.701702,linkedin_python(engineer developer)_europe,47923
2023-02-01 12:00:42.538419,linkedin_python(engineer developer)_worldwide,233396
2023-02-01 12:00:43.699326,linkedin_python(engineer developer)_usa,131258
2023-02-01 12:00:44.613138,linkedin_python(engineer developer)_europe,48595
2023-02-02 12:00:43.344528,linkedin_python(engineer developer)_worldwide,235697
2023-02-02 12:00:44.151140,linkedin_python(engineer developer)_usa,130377
2023-02-02 12:00:45.047531,linkedin_python(engineer developer)_europe,48472
2023-02-03 12:00:43.897194,linkedin_python(engineer developer)_worldwide,240164
2023-02-03 12:00:44.943055,linkedin_python(engineer developer)_usa,133267
2023-02-03 12:00:46.195134,linkedin_python(engineer developer)_europe,48574
2023-02-11 11:03:50.442759,linkedin_python(engineer developer)_worldwide,246360
2023-02-11 11:03:51.199508,linkedin_python(engineer developer)_usa,141296
2023-02-11 11:03:52.071086,linkedin_python(engineer developer)_europe,50209
2023-02-11 12:00:41.986540,linkedin_python(engineer developer)_worldwide,246555
2023-02-11 12:00:42.757726,linkedin_python(engineer developer)_usa,141798
2023-02-11 12:00:43.605056,linkedin_python(engineer developer)_europe,50100
2023-02-11 17:10:52.478442,linkedin_python(engineer developer)_worldwide,248076
2023-02-11 17:10:54.702944,linkedin_python(engineer developer)_usa,141536
2023-02-11 17:10:57.770504,linkedin_python(engineer developer)_europe,50315
2023-02-12 12:00:43.124809,linkedin_python(engineer developer)_worldwide,245876
2023-02-12 12:00:44.125211,linkedin_python(engineer developer)_usa,142111
2023-02-12 12:00:45.171425,linkedin_python(engineer developer)_europe,48995
2023-02-13 12:00:46.145006,linkedin_python(engineer developer)_worldwide,242795
2023-02-13 12:00:47.087050,linkedin_python(engineer developer)_usa,143067
